Arctostaphylos uva-ursi,Arctostaphylos uva-ursi
Arenaria serpyllifolia,Arenaria serpyllifolia
Argentina anserina,Argentina anserina
Aristolochia clematitis,Aristolochia clematitis
Armeria maritima,Armeria maritima
Arnica montana,Arnica montana
Artemisia vulgaris,Artemisia vulgaris
Arum maculatum,Arum maculatum
Aruncus dioicus,Aruncus dioicus
Asarum europaeum,Asarum europaeum
Aster amellus,Aster amellus
Astragalus glycyphyllos,Astragalus glycyphyllos
Astrantia major,Astrantia major
Atriplex patula,Atriplex patula
Atriplex prostrata,Atriplex prostrata
Atropa belladonna,Atropa belladonna
Ballota nigra,Ballota nigra
Barbarea vulgaris,Barbarea vulgaris
Bellis perennis,Bellis perennis
Berberis vulgaris,Berberis vulgaris
Bidens tripartita,Bidens tripartita
Biscutella laevigata,Biscutella laevigata
Bistorta officinalis,Bistorta officinalis
Blitum bonus-henricus,Blitum bonus-henricus
Bryonia dioica,Bryonia dioica
Buddleja davidii,Buddleja davidii
Buglossoides arvensis,Buglossoides arvensis
Buphthalmum salicifolium,Buphthalmum salicifolium
Bupleurum falcatum,Bupleurum falcatum
Butomus umbellatus,Butomus umbellatus
Calla palustris,Calla palustris
Calluna vulgaris,Calluna vulgaris
Caltha palustris,Caltha palustris
Calystegia sepium,Calystegia sepium
Camelina sativa,Camelina sativa
Campanula glomerata,Campanula glomerata
Campanula patula,Campanula patula
Campanula persicifolia,Campanula persicifolia
Campanula rapunculoides,Campanula rapunculoides
Campanula rotundifolia,Campanula rotundifolia
Campanula trachelium,Campanula trachelium
Capsella bursa-pastoris,Capsella bursa-pastoris
Cardamine amara,Cardamine amara
Cardamine pratensis,Cardamine pratensis
Carduus acanthoides,Carduus acanthoides
Carduus nutans,Carduus nutans
Carlina acaulis,Carlina acaulis
Carum carvi,Carum carvi
Centaurea cyanus,Centaurea cyanus
Centaurea jacea,Centaurea jacea
Centaurea montana,Centaurea montana
Centaurea scabiosa,Centaurea scabiosa
Centaurium erythraea,Centaurium erythraea
Cephalanthera damasonium,Cephalanthera damasonium
Cephalanthera rubra,Cephalanthera rubra
Cerastium arvense,Cerastium arvense
Cerastium fontanum,Cerastium fontanum
Cerastium semidecandrum,Cerastium semidecandrum
Ceratophyllum demersum,Ceratophyllum demersum
Chaerophyllum bulbosum,Chaerophyllum bulbosum
Chaerophyllum temulum,Chaerophyllum temulum
Chamerion angustifolium,Chamerion angustifolium
Chelidonium majus,Chelidonium majus
Chenopodium album,Chenopodium album
Chimaphila umbellata,Chimaphila umbellata
Chrysosplenium alternifolium,Chrysosplenium alternifolium
Cichorium intybus,Cichorium intybus
Cicuta virosa,Cicuta virosa
Circaea alpina,Circaea alpina
Circaea lutetiana,Circaea lutetiana
Cirsium acaule,Cirsium acaule
Cirsium arvense,Cirsium arvense
Cirsium oleraceum,Cirsium oleraceum
Cirsium palustre,Cirsium palustre
Cirsium vulgare,Cirsium vulgare
Clematis alpina,Clematis alpina
Clematis vitalba,Clematis vitalba
Clinopodium acinos,Clinopodium acinos
Clinopodium vulgare,Clinopodium vulgare
Colchicum autumnale,Colchicum autumnale
Comarum palustre,Comarum palustre
Conium maculatum,Conium maculatum
Consolida regalis,Consolida regalis
Convallaria majalis,Convallaria majalis
Convolvulus arvensis,Convolvulus arvensis
Conyza canadensis,Conyza canadensis
Cornus mas,Cornus mas
Cornus sanguinea,Cornus sanguinea
Corydalis cava,Corydalis cava
Corydalis solida,Corydalis solida
Cotoneaster integerrimus,Cotoneaster integerrimus
Crataegus germanica,Crataegus germanica
Crataegus laevigata,Crataegus laevigata
Crataegus monogyna,Crataegus monogyna
Crepis biennis,Crepis biennis
Crepis capillaris,Crepis capillaris
Crepis paludosa,Crepis paludosa
Crocus vernus,Crocus vernus
Cruciata laevipes,Cruciata laevipes
Cuscuta epithymum,Cuscuta epithymum
Cypripedium calceolus,Cypripedium calceolus
Cytisus nigricans,Cytisus nigricans
Cytisus scoparius,Cytisus scoparius
Dactylorhiza incarnata,Dactylorhiza incarnata
Dactylorhiza maculata,Dactylorhiza maculata
Dactylorhiza purpurella,Dactylorhiza purpurella
Daphne cneorum,Daphne cneorum
Daphne mezereum,Daphne mezereum
Daphne striata,Daphne striata
Datura stramonium,Datura stramonium
Daucus carota,Daucus carota
Descurainia sophia,Descurainia sophia
Dianthus carthusianorum,Dianthus carthusianorum
Dianthus deltoides,Dianthus deltoides
Dianthus gratianopolitanus,Dianthus gratianopolitanus
Dianthus seguieri,Dianthus seguieri
Dianthus superbus,Dianthus superbus
Dictamnus albus,Dictamnus albus
Digitalis grandiflora,Digitalis grandiflora
Digitalis lutea,Digitalis lutea
Digitalis purpurea,Digitalis purpurea
Diplotaxis muralis,Diplotaxis muralis
Diplotaxis tenuifolia,Diplotaxis tenuifolia
Dipsacus fullonum,Dipsacus fullonum
Draba aizoides,Draba aizoides
Drosera anglica,Drosera anglica
Drosera rotundifolia,Drosera rotundifolia
Echium vulgare,Echium vulgare
Elodea canadensis,Elodea canadensis
Empetrum nigrum,Empetrum nigrum
Epilobium hirsutum,Epilobium hirsutum
Epilobium montanum,Epilobium montanum
Epilobium parviflorum,Epilobium parviflorum
Epilobium roseum,Epilobium roseum
Epipactis helleborine,Epipactis helleborine
Epipactis palustris,Epipactis palustris
Erica tetralix,Erica tetralix
Erigeron acris,Erigeron acris
Erodium cicutarium,Erodium cicutarium
Erophila verna,Erophila verna
Eryngium campestre,Eryngium campestre
Eryngium maritimum,Eryngium maritimum
Erysimum cheiranthoides,Erysimum cheiranthoides
Euonymus europaeus,Euonymus europaeus
Eupatorium cannabinum,Eupatorium cannabinum
Euphorbia cyparissias,Euphorbia cyparissias
Euphorbia dulcis,Euphorbia dulcis
Euphorbia exigua,Euphorbia exigua
Euphorbia helioscopia,Euphorbia helioscopia
Euphorbia palustris,Euphorbia palustris
Euphorbia peplus,Euphorbia peplus
Euphorbia verrucosa,Euphorbia verrucosa
Euphrasia rostkoviana,Euphrasia rostkoviana
Ficaria verna,Ficaria verna
Filago minima,Filago minima
Filipendula ulmaria,Filipendula ulmaria
Filipendula vulgaris,Filipendula vulgaris
Forsythia suspensa,Forsythia suspensa
Fragaria moschata,Fragaria moschata
Fragaria vesca,Fragaria vesca
Fragaria viridis,Fragaria viridis
Frangula alnus,Frangula alnus
Fritillaria meleagris,Fritillaria meleagris
Fumaria officinalis,Fumaria officinalis
Gagea lutea,Gagea lutea
Gagea pratensis,Gagea pratensis
Gagea villosa,Gagea villosa
Galanthus nivalis,Galanthus nivalis
Galeopsis tetrahit,Galeopsis tetrahit
Galinsoga parviflora,Galinsoga parviflora
Galinsoga quadriradiata,Galinsoga quadriradiata
Galium aparine,Galium aparine
Galium mollugo,Galium mollugo
Galium odoratum,Galium odoratum
Galium palustre,Galium palustre
Galium verum,Galium verum
Genista germanica,Genista germanica
Genista pilosa,Genista pilosa
Genista sagittalis,Genista sagittalis
Genista tinctoria,Genista tinctoria
Gentiana asclepiadea,Gentiana asclepiadea
Gentiana lutea,Gentiana lutea
Gentiana pneumonanthe,Gentiana pneumonanthe
Gentiana verna,Gentiana verna
Gentianopsis ciliata,Gentianopsis ciliata
Geranium dissectum,Geranium dissectum
Geranium molle,Geranium molle
Geranium palustre,Geranium palustre
Geranium phaeum,Geranium phaeum
Geranium pratense,Geranium pratense
Geranium robertianum,Geranium robertianum
Geranium sanguineum,Geranium sanguineum
Geranium sylvaticum,Geranium sylvaticum
Geum rivale,Geum rivale
Geum urbanum,Geum urbanum
Glechoma hederacea,Glechoma hederacea
Globularia vulgaris,Globularia vulgaris
Gnaphalium sylvaticum,Gnaphalium sylvaticum
Gratiola officinalis,Gratiola officinalis
Gymnadenia conopsea,Gymnadenia conopsea
Gypsophila muralis,Gypsophila muralis
Hedera helix,Hedera helix
Helianthemum nummularium,Helianthemum nummularium
Helleborus foetidus,Helleborus foetidus
Helleborus niger,Helleborus niger
Helleborus viridis,Helleborus viridis
Heracleum mantegazzianum,Heracleum mantegazzianum
Heracleum sphondylium,Heracleum sphondylium
Herniaria glabra,Herniaria glabra
Hesperis matronalis,Hesperis matronalis
Hieracium murorum,Hieracium murorum
Hippocrepis comosa,Hippocrepis comosa
Hippophae rhamnoides,Hippophae rhamnoides
Hippuris vulgaris,Hippuris vulgaris
Holosteum umbellatum,Holosteum umbellatum
Humulus lupulus,Humulus lupulus
Hydrocharis morsus-ranae,Hydrocharis morsus-ranae
Hydrocotyle vulgaris,Hydrocotyle vulgaris
Hylotelephium telephium,Hylotelephium telephium
Hyoscyamus niger,Hyoscyamus niger
Hypericum hirsutum,Hypericum hirsutum
Hypericum humifusum,Hypericum humifusum
Hypericum maculatum,Hypericum maculatum
Hypericum montanum,Hypericum montanum
Hypericum perforatum,Hypericum perforatum
Hypericum pulchrum,Hypericum pulchrum
Hypericum tetrapterum,Hypericum tetrapterum
Ilex aquifolium,Ilex aquifolium
Impatiens glandulifera,Impatiens glandulifera
Impatiens noli-tangere,Impatiens noli-tangere
Impatiens parviflora,Impatiens parviflora
Inula salicina,Inula salicina
Iris pseudacorus,Iris pseudacorus
Iris sibirica,Iris sibirica
Isatis tinctoria,Isatis tinctoria
Jacobaea erucifolia,Jacobaea erucifolia
Jasione montana,Jasione montana
Knautia arvensis,Knautia arvensis
Knautia dipsacifolia,Knautia dipsacifolia
Laburnum anagyroides,Laburnum anagyroides
Lactuca serriola,Lactuca serriola
Lamium album,Lamium album
Lamium amplexicaule,Lamium amplexicaule
Lamium galeobdolon,Lamium galeobdolon
Lamium maculatum,Lamium maculatum
Lamium purpureum,Lamium purpureum
Lapsana communis,Lapsana communis
Lathraea squamaria,Lathraea squamaria
Lathyrus aphaca,Lathyrus aphaca
Lathyrus linifolius,Lathyrus linifolius
Lathyrus pratensis,Lathyrus pratensis
Lathyrus sylvestris,Lathyrus sylvestris
Lathyrus tuberosus,Lathyrus tuberosus
Lathyrus vernus,Lathyrus vernus
Lavandula angustifolia,Lavandula angustifolia
Lemna gibba,Lemna gibba
Lemna minor,Lemna minor
Lemna trisulca,Lemna trisulca
Leontodon hispidus,Leontodon hispidus
Lepidium campestre,Lepidium campestre
Lepidium draba,Lepidium draba
Leucanthemum vulgare,Leucanthemum vulgare
Leucojum aestivum,Leucojum aestivum
Leucojum vernum,Leucojum vernum
Ligustrum vulgare,Ligustrum vulgare
Lilium martagon,Lilium martagon
Linaria vulgaris,Linaria vulgaris
Linum catharticum,Linum catharticum
Lonicera periclymenum,Lonicera periclymenum
Lonicera xylosteum,Lonicera xylosteum
Lotus corniculatus,Lotus corniculatus
Lotus maritimus,Lotus maritimus
Lotus pedunculatus,Lotus pedunculatus
Lunaria rediviva,Lunaria rediviva
Lupinus polyphyllus,Lupinus polyphyllus
Lychnis flos-cuculi,Lychnis flos-cuculi
Lycopus europaeus,Lycopus europaeus
Lysimachia europaea,Lysimachia europaea
Lysimachia nummularia,Lysimachia nummularia
Lysimachia punctata,Lysimachia punctata
Lysimachia thyrsiflora,Lysimachia thyrsiflora
Lysimachia vulgaris,Lysimachia vulgaris
Lythrum salicaria,Lythrum salicaria
Maianthemum bifolium,Maianthemum bifolium
Malus sylvestris,Malus sylvestris
Malva alcea,Malva alcea
Malva moschata,Malva moschata
Malva neglecta,Malva neglecta
Malva sylvestris,Malva sylvestris
Matricaria discoidea,Matricaria discoidea
Matricaria recutita,Matricaria recutita
Medicago falcata,Medicago falcata
Medicago lupulina,Medicago lupulina
Medicago sativa,Medicago sativa
Melampyrum arvense,Melampyrum arvense
Melampyrum pratense,Melampyrum pratense
Melampyrum sylvaticum,Melampyrum sylvaticum
Melilotus albus,Melilotus albus
Melilotus officinalis,Melilotus officinalis
Mentha aquatica,Mentha aquatica
Mentha arvensis,Mentha arvensis
Mentha spicata,Mentha spicata
Menyanthes trifoliata,Menyanthes trifoliata
Mercurialis annua,Mercurialis annua
Mercurialis perennis,Mercurialis perennis
Moehringia trinervia,Moehringia trinervia
Moneses uniflora,Moneses uniflora
Monotropa hypopitys,Monotropa hypopitys
Muscari botryoides,Muscari botryoides
Muscari neglectum,Muscari neglectum
Mycelis muralis,Mycelis muralis
Myosotis arvensis,Myosotis arvensis
Myosotis scorpioides,Myosotis scorpioides
Myosotis sylvatica,Myosotis sylvatica
Myosoton aquaticum,Myosoton aquaticum
Myriophyllum spicatum,Myriophyllum spicatum
Nasturtium officinale,Nasturtium officinale
Neottia nidus-avis,Neottia nidus-avis
Neottia ovata,Neottia ovata
Neslia paniculata,Neslia paniculata
Nuphar lutea,Nuphar lutea
Nuphar pumila,Nuphar pumila
Nymphaea alba,Nymphaea alba
Oenanthe aquatica,Oenanthe aquatica
Oenothera biennis,Oenothera biennis
Oenothera parviflora,Oenothera parviflora
Onobrychis viciifolia,Onobrychis viciifolia
Ononis spinosa,Ononis spinosa
Ophrys apifera,Ophrys apifera
Ophrys fuciflora,Ophrys fuciflora
Ophrys insectifera,Ophrys insectifera
Ophrys sphegodes,Ophrys sphegodes
Orchis mascula,Orchis mascula
Orchis militaris,Orchis militaris
Orchis pallens,Orchis pallens
Origanum vulgare,Origanum vulgare
Ornithogalum umbellatum,Ornithogalum umbellatum
Orobanche minor,Orobanche minor
Orobanche ramosa,Orobanche ramosa
Orthilia secunda,Orthilia secunda
Oxalis acetosella,Oxalis acetosella
Oxalis corniculata,Oxalis corniculata
Papaver argemone,Papaver argemone
Papaver rhoeas,Papaver rhoeas
Paris quadrifolia,Paris quadrifolia
Parnassia palustris,Parnassia palustris
Pastinaca sativa,Pastinaca sativa
Pedicularis palustris,Pedicularis palustris
Pedicularis sylvatica,Pedicularis sylvatica
Persicaria hydropiper,Persicaria hydropiper
Persicaria lapathifolia,Persicaria lapathifolia
Persicaria maculosa,Persicaria maculosa
Petasites albus,Petasites albus
Petasites hybridus,Petasites hybridus
Peucedanum oreoselinum,Peucedanum oreoselinum
Peucedanum palustre,Peucedanum palustre
Phyteuma spicatum,Phyteuma spicatum
Picris hieracioides,Picris hieracioides
Pilosella officinarum,Pilosella officinarum
Pimpinella anisum,Pimpinella anisum
Pimpinella major,Pimpinella major
Pimpinella saxifraga,Pimpinella saxifraga
Pinguicula alpina,Pinguicula alpina
Pinguicula vulgaris,Pinguicula vulgaris
Plantago lanceolata,Plantago lanceolata
Plantago major,Plantago major
Plantago media,Plantago media
Platanthera bifolia,Platanthera bifolia
Platanthera chlorantha,Platanthera chlorantha
Polygala amara,Polygala amara
Polygala chamaebuxus,Polygala chamaebuxus
Polygala comosa,Polygala comosa
Polygala vulgaris,Polygala vulgaris
Polygonatum multiflorum,Polygonatum multiflorum
Polygonatum odoratum,Polygonatum odoratum
Polygonatum verticillatum,Polygonatum verticillatum
Polygonum aviculare,Polygonum aviculare
Portulaca oleracea,Portulaca oleracea
Potamogeton crispus,Potamogeton crispus
Potamogeton natans,Potamogeton natans
Potentilla alba,Potentilla alba
Potentilla argentea,Potentilla argentea
Potentilla erecta,Potentilla erecta
Potentilla neumanniana,Potentilla neumanniana
Potentilla reptans,Potentilla reptans
Potentilla sterilis,Potentilla sterilis
Prenanthes purpurea,Prenanthes purpurea
Primula elatior,Primula elatior
Primula farinosa,Primula farinosa
Primula veris,Primula veris
Prunella grandiflora,Prunella grandiflora
Prunella vulgaris,Prunella vulgaris
Prunus avium,Prunus avium
Prunus padus,Prunus padus
Prunus spinosa,Prunus spinosa
Pulmonaria officinalis,Pulmonaria officinalis
Pulsatilla alpina,Pulsatilla alpina
Pulsatilla patens,Pulsatilla patens
Pulsatilla pratensis,Pulsatilla pratensis
Pulsatilla vernalis,Pulsatilla vernalis
Pulsatilla vulgaris,Pulsatilla vulgaris
Pyrola media,Pyrola media
Pyrola minor,Pyrola minor
Pyrola rotundifolia,Pyrola rotundifolia
Pyrus communis,Pyrus communis
Ranunculus acris,Ranunculus acris
Ranunculus arvensis,Ranunculus arvensis
Ranunculus auricomus,Ranunculus auricomus
Ranunculus bulbosus,Ranunculus bulbosus
Ranunculus flammula,Ranunculus flammula
Ranunculus fluitans,Ranunculus fluitans
Ranunculus lanuginosus,Ranunculus lanuginosus
Ranunculus lingua,Ranunculus lingua
Ranunculus montanus,Ranunculus montanus
Ranunculus repens,Ranunculus repens
Ranunculus sceleratus,Ranunculus sceleratus
Ranunculus trichophyllus,Ranunculus trichophyllus
Raphanus raphanistrum,Raphanus raphanistrum
Reseda lutea,Reseda lutea
Rhamnus cathartica,Rhamnus cathartica
Rhinanthus alectorolophus,Rhinanthus alectorolophus
Rhinanthus angustifolius,Rhinanthus angustifolius
Rhinanthus minor,Rhinanthus minor
Rhododendron ferrugineum,Rhododendron ferrugineum
Rhododendron hirsutum,Rhododendron hirsutum
Rhododendron tomentosum,Rhododendron tomentosum
Ribes alpinum,Ribes alpinum
Ribes nigrum,Ribes nigrum
Ribes petraeum,Ribes petraeum
Ribes uva-crispa,Ribes uva-crispa
Robinia pseudoacacia,Robinia pseudoacacia
Rorippa amphibia,Rorippa amphibia
Rorippa palustris,Rorippa palustris
Rorippa sylvestris,Rorippa sylvestris
Rosa arvensis,Rosa arvensis
Rosa canina,Rosa canina
Rosa villosa,Rosa villosa
Rubus caesius,Rubus caesius
Rubus idaeus,Rubus idaeus
Rubus plicatus,Rubus plicatus
Rubus saxatilis,Rubus saxatilis
Rumex acetosa,Rumex acetosa
Rumex acetosella,Rumex acetosella
Rumex alpinus,Rumex alpinus
Rumex conglomeratus,Rumex conglomeratus
Rumex crispus,Rumex crispus
Rumex obtusifolius,Rumex obtusifolius
Sagina procumbens,Sagina procumbens
Sagittaria sagittifolia,Sagittaria sagittifolia
Salicornia europaea,Salicornia europaea
Salvia pratensis,Salvia pratensis
Sambucus nigra,Sambucus nigra
Sambucus racemosa,Sambucus racemosa
Sanguisorba minor,Sanguisorba minor
Sanguisorba officinalis,Sanguisorba officinalis
Sanicula europaea,Sanicula europaea
Saponaria officinalis,Saponaria officinalis
Saxifraga granulata,Saxifraga granulata
Saxifraga paniculata,Saxifraga paniculata
Scabiosa columbaria,Scabiosa columbaria
Scheuchzeria palustris,Scheuchzeria palustris
Scilla bifolia,Scilla bifolia
Scleranthus annuus,Scleranthus annuus
Scorzoneroides autumnalis,Scorzoneroides autumnalis
Scrophularia nodosa,Scrophularia nodosa
Scrophularia umbrosa,Scrophularia umbrosa
Scutellaria galericulata,Scutellaria galericulata
Scutellaria minor,Scutellaria minor
Securigera varia,Securigera varia
Sedum acre,Sedum acre
Sedum album,Sedum album
Sedum sexangulare,Sedum sexangulare
Senecio jacobaea,Senecio jacobaea
Senecio ovatus,Senecio ovatus
Senecio viscosus,Senecio viscosus
Senecio vulgaris,Senecio vulgaris
Serratula tinctoria,Serratula tinctoria
Sherardia arvensis,Sherardia arvensis
Silaum silaus,Silaum silaus
Silene dioica,Silene dioica
Silene latifolia,Silene latifolia
Silene nutans,Silene nutans
Silene viscaria,Silene viscaria
Silene vulgaris,Silene vulgaris
Sinapis arvensis,Sinapis arvensis
Sisymbrium officinale,Sisymbrium officinale
Solanum dulcamara,Solanum dulcamara
Solanum nigrum,Solanum nigrum
Soldanella carpatica,Soldanella carpatica
Solidago canadensis,Solidago canadensis
Solidago virgaurea,Solidago virgaurea
Sonchus arvensis,Sonchus arvensis
Sonchus asper,Sonchus asper
Sorbus aria,Sorbus aria
Sorbus aucuparia,Sorbus aucuparia
Sorbus torminalis,Sorbus torminalis
Sparganium erectum,Sparganium erectum
Spergula arvensis,Spergula arvensis
Spirodela polyrhiza,Spirodela polyrrhiza
Stachys germanica,Stachys germanica
Stachys officinalis,Stachys officinalis
Stachys palustris,Stachys palustris
Stachys recta,Stachys recta
Stachys sylvatica,Stachys sylvatica
Stellaria alsine,Stellaria alsine
Stellaria graminea,Stellaria graminea
Stellaria holostea,Stellaria holostea
Stellaria media,Stellaria media
Stellaria nemorum,Stellaria nemorum
Succisa pratensis,Succisa pratensis
Symphytum officinale,Symphytum officinale
Syringa vulgaris,Syringa vulgaris
Tanacetum vulgare,Tanacetum vulgare
Taraxacum officinale,Taraxacum officinale
Teesdalia nudicaulis,Teesdalia nudicaulis
Telekia speciosa,Telekia speciosa
Teucrium chamaedrys,Teucrium chamaedrys
Thalictrum aquilegiifolium,Thalictrum aquilegiifolium
Thalictrum flavum,Thalictrum flavum
Thesium pyrenaicum,Thesium pyrenaicum
Thlaspi arvense,Thlaspi arvense
Thlaspi perfoliatum,Thlaspi perfoliatum
Thymus serpyllum,Thymus serpyllum
Tilia cordata,Tilia cordata
Tilia platyphyllos,Tilia platyphyllos
Tragopogon pratensis,Tragopogon pratensis
Trifolium aureum,Trifolium aureum
Trifolium campestre,Trifolium campestre
Trifolium medium,Trifolium medium
Trifolium montanum,Trifolium montanum
Trifolium pratense,Trifolium pratense
Trifolium repens,Trifolium repens
Trifolium resupinatum,Trifolium resupinatum
Tripleurospermum inodorum,Tripleurospermum inodorum
Trollius europaeus,Trollius europaeus L.
Turritis glabra,Turritis glabra
Tussilago farfara,Tussilago farfara
Typha angustifolia,Typha angustifolia
Typha latifolia,Typha latifolia
Ulex europaeus,Ulex europaeus
Ulmus glabra,Ulmus glabra
Ulmus laevis,Ulmus laevis
Ulmus minor,Ulmus minor
Urtica dioica,Urtica dioica
Urtica urens,Urtica urens
Utricularia vulgaris,Utricularia vulgaris
Vaccinium myrtillus,Vaccinium myrtillus
Vaccinium oxycoccos,Vaccinium oxycoccos
Vaccinium uliginosum,Vaccinium uliginosum
Vaccinium vitis-idaea,Vaccinium vitis-idaea
Valeriana dioica,Valeriana dioica
Valeriana officinalis,Valeriana officinalis
Valerianella locusta,Valerianella locusta
Veratrum album,Veratrum album
Verbascum densiflorum,Verbascum densiflorum
Verbascum lychnitis,Verbascum lychnitis
Verbascum nigrum,Verbascum nigrum
Verbascum phoeniceum,Verbascum phoeniceum
Verbascum thapsus,Verbascum thapsus
Verbena officinalis,Verbena officinalis
Veronica anagallis-aquatica,Veronica anagallis-aquatica
Veronica arvensis,Veronica arvensis
Veronica austriaca,Veronica austriaca
Veronica beccabunga,Veronica beccabunga
Veronica chamaedrys,Veronica chamaedrys
Veronica hederifolia,Veronica hederifolia
Veronica officinalis,Veronica officinalis
Veronica persica,Veronica persica
Veronica triphyllos,Veronica triphyllos
Viburnum lantana,Viburnum lantana
Viburnum opulus,Viburnum opulus
Vicia cracca,Vicia cracca
Vicia sepium,Vicia sepium
Vicia tetrasperma,Vicia tetrasperma
Vinca minor,Vinca minor L.
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria
Viola biflora,Viola biflora
Viola canina,Viola canina
Viola hirta,Viola hirta
Viola odorata,Viola odorata
Viola palustris,Viola palustris
Viola reichenbachiana,Viola reichenbachiana
Viola tricolor,Viola tricolor
Viscum album,Viscum album
